,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
9308,26.0,4.7,Sandstorms,Jam,2,Snack,scooter,0.0,No,Metropolitian,20,20.168491134908
9309,38.0,4.3,Windy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,35,7.646260776615515
9310,32.0,4.6,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,20,1.4892383557586726
9311,20.0,4.7,Fog,Low,1,Meal,motorcycle,0.0,No,Metropolitian,17,2.99431310235376
9312,31.0,4.0,Cloudy,Jam,1,Snack,motorcycle,1.0,Yes,Metropolitian,43,12.28602709922366
9313,25.0,4.2,Cloudy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,39,10.63492350171387
9314,34.0,4.6,Sunny,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,36,13.961800771727514
9315,31.0,4.9,Cloudy,Jam,0,Drinks,motorcycle,3.0,No,Semi-Urban,49,17.06606899847265
9316,34.0,4.8,Stormy,Low,2,Snack,scooter,0.0,No,Metropolitian,27,12.23135131077928
9317,25.0,4.7,Sunny,Jam,2,Buffet,electric_scooter,0.0,No,Metropolitian,24,12.248351419290568
9318,29.0,4.0,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,28,3.0864037826225617
9319,20.0,4.6,Fog,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,14,9.429277693727657
9320,38.0,4.3,Windy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,53,16.626299296196372
9321,36.0,4.4,Sandstorms,High,0,Meal,motorcycle,1.0,No,Metropolitian,48,1.5138362917629429
9322,22.0,4.6,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,19,3.057686113597521
9323,30.0,4.7,Sandstorms,Jam,0,Drinks,motorcycle,2.0,No,Urban,40,4.65467321995447
9324,26.0,4.7,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,22,4.46655615994545
9325,35.0,4.9,Sunny,High,1,Drinks,motorcycle,1.0,No,Metropolitian,16,1.5314552290481231
9326,32.0,4.9,Windy,High,0,Snack,motorcycle,,No,Urban,30,3.038779553858459
9327,27.0,4.5,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Urban,18,16.89323090126507
9328,39.0,4.6,Windy,Medium,2,Snack,motorcycle,0.0,No,Metropolitian,20,19.67604614230744
9329,33.0,4.6,Cloudy,Medium,0,Snack,motorcycle,3.0,Yes,Metropolitian,45,10.749630512224549
9330,27.0,4.6,Stormy,High,0,Buffet,motorcycle,0.0,No,Metropolitian,26,1.5138303551264662
9331,35.0,4.3,Fog,Jam,2,Meal,scooter,2.0,No,Urban,35,20.54340388811136
9332,20.0,4.6,Sandstorms,Medium,2,Snack,scooter,1.0,No,Metropolitian,28,4.593553871446664
9333,37.0,4.5,Fog,Medium,0,Snack,motorcycle,2.0,Yes,,45,12.066701168934992
9334,22.0,4.5,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,10.677120073581435
9335,34.0,4.9,Windy,Low,1,Meal,scooter,1.0,No,Urban,21,3.103405864186195
9336,31.0,4.8,Sunny,Low,1,Buffet,scooter,0.0,No,Metropolitian,18,9.309876822097578
9337,39.0,4.6,Fog,Low,2,Drinks,scooter,1.0,No,Metropolitian,26,19.65364541811291
9338,20.0,5.0,Cloudy,High,2,Snack,scooter,0.0,No,Metropolitian,27,6.1247798426717015
9339,36.0,4.2,Sunny,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,37,12.410683619581903
9340,27.0,4.9,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,28,16.649443953477785
9341,23.0,4.6,Cloudy,Low,2,Meal,electric_scooter,1.0,No,Urban,10,3.056653349683067
9342,31.0,4.6,Sunny,High,2,Drinks,electric_scooter,0.0,No,Metropolitian,17,3.1430928207904922
9343,35.0,4.7,Windy,Low,1,Buffet,scooter,0.0,No,Metropolitian,22,12.409995903511664
9344,35.0,4.3,Fog,High,1,Buffet,motorcycle,,No,Metropolitian,33,3.0249455203498563
9345,27.0,4.8,Sunny,Low,1,Buffet,scooter,1.0,No,Metropolitian,19,7.656030991957176
9346,24.0,4.6,Sandstorms,Medium,1,Buffet,scooter,1.0,No,Metropolitian,29,4.660565189034882
9347,34.0,4.6,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,48,20.240338431037404
9348,27.0,4.6,Sunny,Low,0,Meal,motorcycle,1.0,No,,14,4.49133483992645
9349,23.0,4.7,Windy,High,0,Snack,motorcycle,0.0,No,Metropolitian,34,1.5512724512388212
9350,26.0,4.7,Windy,High,1,Snack,motorcycle,0.0,No,Urban,10,6.28618544846543
9351,33.0,4.3,Windy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,35,10.273274292867361
9352,36.0,4.5,Cloudy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,44,13.574615758845749
9353,21.0,4.5,Fog,Jam,2,Buffet,motorcycle,0.0,No,Metropolitian,21,9.320795661158805
9354,36.0,4.6,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,31,6.228460040713283
9355,30.0,5.0,Sunny,High,0,Snack,motorcycle,1.0,No,Metropolitian,29,6.142763061969513
9356,27.0,4.1,Windy,Low,0,Snack,motorcycle,0.0,No,Urban,16,1.5572622939685072
9357,23.0,4.9,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,15,1.553568007543699
9358,22.0,4.6,Cloudy,Low,1,Meal,motorcycle,0.0,No,Metropolitian,19,1.535946410479506
9359,24.0,5.0,Cloudy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,23,7.568674945577444
9360,29.0,4.9,Sunny,Medium,1,Drinks,scooter,1.0,No,Metropolitian,18,4.6546553515553075
9361,29.0,5.0,Sandstorms,Jam,0,Buffet,motorcycle,2.0,No,Urban,39,12.091655244277778
9362,23.0,4.6,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,34,14.143914925457633
9363,24.0,4.8,Cloudy,Low,1,Drinks,scooter,0.0,No,Urban,14,9.11577218047306
9364,33.0,4.2,Sunny,Jam,1,Buffet,scooter,1.0,No,Metropolitian,33,10.899565160803258
9365,20.0,4.6,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,15,6.28618544846543
9366,21.0,4.6,Sunny,Medium,2,Drinks,scooter,0.0,No,Urban,12,7.545231633284738
9367,35.0,5.0,Cloudy,Medium,0,Snack,motorcycle,0.0,No,,26,9.17048623187666
9368,31.0,4.8,Stormy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,36,4.654235807765058
9369,20.0,4.7,Stormy,Low,2,Meal,motorcycle,1.0,No,Metropolitian,19,7.785231660870869
9370,22.0,4.4,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,35,19.347153052517694
9371,33.0,4.9,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,18,12.072302123243295
9372,22.0,4.6,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,18,11.739335683712838
9373,25.0,4.1,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,38,13.779512651865089
9374,27.0,4.9,Stormy,Medium,1,Meal,scooter,0.0,No,Metropolitian,20,7.54214985272768
9375,24.0,4.4,Fog,Jam,1,Meal,scooter,1.0,No,Metropolitian,41,10.859060838145808
9376,22.0,4.6,Fog,High,1,Snack,scooter,0.0,No,Metropolitian,25,6.112547086550159
9377,35.0,4.9,Sandstorms,Jam,2,Snack,scooter,1.0,No,Metropolitian,28,14.143914925457633
9378,36.0,4.8,Windy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,37,13.575777226637122
9379,31.0,4.0,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,34,9.429277693727657
9380,33.0,5.0,Cloudy,Medium,0,Drinks,motorcycle,2.0,Yes,Metropolitian,48,19.749473012963847
9381,20.0,5.0,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Urban,24,7.857731631182655
9382,21.0,4.9,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,19,1.4892383557586726
9383,39.0,4.6,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,10.750202016074843
9384,36.0,4.4,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,29,3.103141581609365
9385,24.0,4.1,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,29,4.467540049378466
9386,26.0,4.5,Fog,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,28,4.593451005332474
9387,22.0,4.1,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,26,1.5116189557352588
9388,36.0,4.6,Sandstorms,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,27,13.61180569100036
9389,29.0,5.0,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Metropolitian,21,13.765089885886539
9390,34.0,5.0,Windy,Medium,1,Drinks,scooter,0.0,No,Metropolitian,31,5.956603337082311
9391,35.0,4.7,Stormy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,28,4.671398259788803
9392,26.0,4.7,Sunny,Medium,1,Meal,scooter,1.0,No,Urban,11,10.858262601851198
9393,38.0,4.1,Sandstorms,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,36,12.41293032728011
9394,32.0,4.9,Sunny,Jam,1,Meal,scooter,1.0,No,Metropolitian,16,7.320764006202874
9395,27.0,4.5,Sunny,High,1,Buffet,scooter,1.0,No,Urban,19,1.488798981534577
9396,31.0,4.3,Fog,High,0,Buffet,motorcycle,1.0,No,Metropolitian,31,6.28618544846543
9397,34.0,5.0,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,27,8.78473696415796
9398,27.0,4.8,Stormy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,12,3.1028499065285122
9399,30.0,4.1,Fog,Jam,2,Drinks,electric_scooter,2.0,Yes,Metropolitian,43,19.07695811353143
9400,24.0,4.7,Cloudy,Low,1,Buffet,scooter,0.0,No,Metropolitian,21,17.127535598532056
9401,23.0,4.9,Cloudy,Jam,1,Buffet,motorcycle,0.0,Yes,Metropolitian,44,10.420752673823214
9402,30.0,4.2,Fog,Medium,2,Meal,scooter,2.0,No,Metropolitian,35,16.776652028664987
9403,26.0,4.6,Sandstorms,Medium,1,Buffet,scooter,0.0,No,Urban,21,17.065537658720537
9404,31.0,4.6,Fog,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,28,9.214629701179918
9405,28.0,4.7,Fog,Medium,2,Drinks,motorcycle,1.0,No,Urban,29,17.064183904061466
9406,27.0,4.7,Windy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,36,13.602617847910004
9407,32.0,4.5,Sunny,Low,1,Buffet,motorcycle,1.0,No,,27,13.757291744061137
9408,27.0,4.7,Fog,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,14,1.5535865143479106
9409,23.0,4.1,Cloudy,Jam,2,Buffet,scooter,0.0,No,Metropolitian,39,10.874103898171294
9410,20.0,4.7,Windy,Medium,0,Snack,motorcycle,1.0,No,Urban,21,10.24948967100297
9411,32.0,4.8,Sandstorms,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,33,7.568680976788382
9412,21.0,4.7,Sandstorms,Jam,1,Drinks,scooter,0.0,No,Metropolitian,20,20.838771171908814
9413,26.0,4.7,Sandstorms,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,13,9.170618482017863
9414,29.0,4.5,Fog,High,2,Drinks,scooter,0.0,No,Metropolitian,25,6.114903715097089
9415,29.0,4.8,Sunny,Medium,1,Snack,scooter,0.0,No,Metropolitian,13,13.758211558630201
9416,32.0,4.8,Stormy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,30,6.205243265109957
9417,29.0,4.9,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,13,7.797643705994204
9418,22.0,4.6,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,29,1.4890519253393668
9419,31.0,4.9,Sunny,Low,2,Buffet,scooter,1.0,No,Urban,10,1.531389054352561
9420,32.0,3.6,Stormy,Jam,2,Drinks,electric_scooter,1.0,Yes,Metropolitian,43,12.24732009605108
9421,34.0,4.5,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,25,16.842253914633233
9422,37.0,4.7,Fog,Medium,1,Meal,motorcycle,1.0,No,Urban,18,6.28618544846543
9423,37.0,4.8,Sunny,Low,1,Meal,scooter,0.0,No,Urban,10,1.511742043514821
9424,33.0,4.5,Sunny,High,2,Buffet,electric_scooter,0.0,No,Metropolitian,24,6.28618544846543
9425,37.0,4.8,Fog,Low,1,Buffet,motorcycle,1.0,No,Urban,17,1.5116250281153474
9426,32.0,4.5,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,20,1.5117643329915333
9427,32.0,4.9,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,37,12.226964056864439
9428,23.0,4.8,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,26,6.205586620669722
9429,22.0,4.6,Sunny,Jam,0,Snack,motorcycle,0.0,No,Urban,15,16.141407677225317
9430,36.0,4.1,Windy,Jam,0,Snack,motorcycle,2.0,Yes,,52,17.087650227594832
9431,25.0,4.5,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,24,11.000823613167864
9432,27.0,4.5,Sandstorms,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,26,12.285167152092637
9433,,,,,3,Drinks,motorcycle,1.0,No,Urban,30,3.107107098199778
9434,30.0,4.7,Fog,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,18,1.5194020453662405
9435,36.0,4.8,Sunny,Medium,1,Meal,motorcycle,1.0,No,Urban,19,19.74930447093798
9436,23.0,4.0,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,36,8.93248563994729
9437,28.0,4.6,Sandstorms,High,1,Meal,scooter,1.0,No,Metropolitian,22,6.22827704189613
9438,22.0,4.4,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,19,1.5535751535432145
9439,22.0,5.0,Sandstorms,Jam,2,Drinks,electric_scooter,1.0,No,Urban,25,20.168238120259335
9440,21.0,4.9,Windy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,27,16.710789728068644
9441,24.0,4.8,Fog,Low,1,Meal,scooter,1.0,No,Metropolitian,26,20.494044778246327
9442,,,Sandstorms,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,28,4.671219036046662
9443,22.0,4.5,Fog,Low,2,Snack,scooter,0.0,No,Urban,18,1.5358636525788323
9444,31.0,4.7,Sandstorms,Low,1,Snack,scooter,1.0,No,Metropolitian,27,1.5513711030649984
9445,20.0,4.7,Fog,Jam,1,Meal,scooter,1.0,No,Metropolitian,26,4.593064730356052
9446,22.0,4.9,Stormy,Low,1,Buffet,scooter,0.0,No,Urban,14,4.594065456370285
9447,26.0,5.0,Stormy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,29,4.525321594884672
9448,33.0,4.7,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,36,16.842120680799532
9449,35.0,4.9,Cloudy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,53,10.410525488307899
9450,36.0,4.6,Sunny,Jam,2,Meal,scooter,0.0,No,Metropolitian,24,13.980364557855287
9451,39.0,4.3,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,37,12.572369364893285
9452,32.0,4.6,Stormy,Low,1,Snack,motorcycle,0.0,No,Metropolitian,22,9.115363144720819
9453,31.0,4.6,Cloudy,Low,0,Snack,motorcycle,1.0,Yes,Metropolitian,40,20.84024194783426
9454,22.0,4.8,Sunny,Low,1,Buffet,motorcycle,1.0,No,Urban,15,1.5513436699032068
9455,23.0,4.7,Fog,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,13,7.443622591968249
9456,38.0,4.6,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,24,13.9631425918721
9457,22.0,4.7,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,29,13.962444859428931
9458,28.0,4.7,Cloudy,Low,2,Buffet,scooter,1.0,No,,18,1.511736240634472
9459,33.0,4.5,Sandstorms,Medium,1,Snack,scooter,1.0,No,Metropolitian,26,6.143555575406472
9460,25.0,5.0,Sandstorms,High,0,Meal,motorcycle,0.0,No,Metropolitian,27,1.5570990223383796
9461,23.0,4.7,Windy,High,0,Buffet,motorcycle,0.0,No,Urban,15,5.955015067290943
9462,34.0,4.9,Fog,Jam,2,Buffet,scooter,1.0,No,Metropolitian,36,9.172043096501493
9463,33.0,4.8,Sunny,Low,1,Drinks,scooter,0.0,No,,11,1.467702359796397
9464,28.0,4.6,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,40,11.000823613167864
9465,23.0,4.8,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Urban,19,3.027659627168733
9466,26.0,4.7,Fog,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,17,3.1141653989201736
9467,27.0,4.3,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,15,1.5357539319519053
9468,38.0,4.8,Windy,Low,2,Meal,electric_scooter,1.0,No,Urban,23,2.9776698337167837
9469,33.0,4.9,Fog,Jam,0,Snack,motorcycle,0.0,Yes,Metropolitian,43,16.810099534039384
9470,37.0,4.7,Stormy,Low,1,Buffet,scooter,0.0,No,Urban,21,7.4564645042150035
9471,25.0,4.6,Sandstorms,Low,2,Snack,electric_scooter,0.0,No,Metropolitian,10,12.4092078896426
9472,38.0,4.9,Fog,Low,0,Meal,motorcycle,1.0,No,Urban,22,9.18732212501908
9473,26.0,5.0,Cloudy,Low,1,Buffet,scooter,1.0,No,Metropolitian,17,9.115648596655296
9474,38.0,4.4,Stormy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,43,19.903755687059828
9475,29.0,4.7,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,26,4.525321594884672
9476,27.0,4.6,Stormy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,25,3.1430928207904922
9477,36.0,4.8,Fog,Low,1,Meal,scooter,1.0,No,Metropolitian,16,1.5517064683264987
9478,20.0,4.9,Sandstorms,Low,1,Meal,motorcycle,1.0,No,Urban,14,3.1430928207904922
9479,37.0,4.6,Sunny,Medium,2,Meal,scooter,1.0,No,Metropolitian,26,17.12672803570357
9480,35.0,4.8,Sunny,High,1,Snack,motorcycle,1.0,No,Urban,16,6.205091167659758
9481,35.0,4.7,Stormy,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,3.071634242156369
9482,31.0,4.7,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,38,19.7499807656048
9483,21.0,4.8,Sunny,Medium,2,Meal,motorcycle,1.0,No,Urban,11,20.170809269557243
9484,38.0,5.0,Cloudy,High,1,Meal,scooter,1.0,No,Metropolitian,33,6.28618544846543
9485,27.0,5.0,Stormy,Low,2,Buffet,electric_scooter,0.0,No,Urban,17,9.115409460044747
9486,23.0,4.6,Stormy,High,0,Meal,motorcycle,1.0,No,Metropolitian,26,3.023477854513544
9487,36.0,3.8,Sandstorms,Medium,1,Drinks,motorcycle,2.0,No,Metropolitian,36,10.75035500392397
9488,36.0,4.1,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,31,7.857731631182655
9489,33.0,4.9,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Urban,24,1.5312396066787035
9490,38.0,4.8,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,3.1031459198477402
9491,29.0,4.7,Sunny,Jam,2,Drinks,scooter,1.0,No,Metropolitian,12,12.230108179663784
9492,38.0,4.8,Stormy,Medium,0,Snack,motorcycle,1.0,Yes,Urban,44,10.70648452912294
9493,34.0,4.7,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,22,4.607703292531046
9494,30.0,4.5,Fog,Low,1,Drinks,scooter,1.0,No,Metropolitian,18,4.53479119576263
9495,38.0,4.8,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,30,9.082307935699085
9496,29.0,5.0,Stormy,Low,1,Snack,scooter,0.0,No,Metropolitian,12,4.466221537969012
9497,35.0,5.0,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,27,1.5432366168386074
9498,32.0,4.9,Stormy,Jam,0,Drinks,motorcycle,3.0,No,Urban,44,7.756326843010645
9499,35.0,4.7,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,28,9.358108644077655
9500,28.0,5.0,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,19,1.508516547057644
9501,25.0,4.9,Stormy,High,2,Drinks,scooter,1.0,No,Metropolitian,29,1.512695385703237
9502,23.0,5.0,Fog,Medium,2,Drinks,scooter,1.0,No,Urban,18,9.214660812827498
9503,21.0,4.5,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,11,13.821326210366465
9504,23.0,4.9,Windy,Jam,1,Buffet,motorcycle,0.0,No,Urban,27,12.286068719868755
9505,29.0,4.6,Sunny,High,2,Buffet,scooter,1.0,No,Metropolitian,14,6.14324719297584
9506,22.0,5.0,Stormy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,21,10.634422686579148
9507,22.0,4.8,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,16,10.421028454882787
9508,27.0,4.9,Windy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,26,7.443622591968249
9509,30.0,4.9,Windy,Medium,2,Snack,scooter,1.0,No,Metropolitian,20,10.90029215880898
9510,32.0,4.5,Sunny,Jam,2,Snack,motorcycle,1.0,No,Urban,19,13.821370351042946
9511,35.0,3.7,Stormy,Medium,1,Drinks,scooter,0.0,No,Metropolitian,32,10.860611687013508
9512,36.0,4.7,Windy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,42,10.421601333354896
9513,36.0,4.4,Windy,Medium,2,Meal,electric_scooter,0.0,No,Metropolitian,37,10.557776854813198
9514,28.0,4.8,Sandstorms,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,29,9.169366734239151
9515,30.0,4.9,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,22,10.718891694575323
9516,33.0,3.9,Windy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,32,13.60404763881213
9517,31.0,4.7,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,37,10.479312323030129
9518,,,Stormy,High,2,Meal,motorcycle,0.0,No,Metropolitian,34,6.0550722689685905
9519,33.0,4.6,Stormy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,29,10.558522624584693
9520,33.0,4.7,Stormy,Jam,1,Drinks,scooter,1.0,No,,27,10.718308980083892
9521,32.0,4.2,Windy,Medium,2,Snack,scooter,1.0,No,Metropolitian,34,9.170618482017863
9522,29.0,4.6,Stormy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,19,12.41293032728011
9523,38.0,4.9,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,27,19.66014400471386
9524,,,Cloudy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,15,1.5715464192431179
9525,23.0,4.8,Sunny,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,15,1.5513711030649984
9526,31.0,4.5,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,39,16.636293247753738
9527,28.0,4.7,Sunny,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,13,19.347153052517694
9528,32.0,4.8,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,25,12.224390178198785
9529,21.0,4.5,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,23,9.075402840098056
9530,21.0,4.8,Windy,Jam,0,Buffet,motorcycle,1.0,No,Urban,31,19.352117031492142
9531,39.0,4.9,Sunny,Medium,2,Snack,motorcycle,0.0,No,Metropolitian,25,20.838487251661093
9532,20.0,4.8,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,25,14.143914925457633
9533,34.0,4.6,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,18,10.42077514934214
9534,30.0,4.0,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,40,10.581171494624508
9535,32.0,5.0,Stormy,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,54,20.240338431037404
9536,30.0,4.6,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,46,12.572369364893285
9537,36.0,4.6,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,22,4.660483625292265
9538,25.0,4.6,Sandstorms,High,2,Buffet,scooter,1.0,No,Urban,26,3.1031608676853546
9539,35.0,4.6,Fog,Jam,2,Snack,scooter,1.0,No,Metropolitian,25,7.6555389783046905
9540,36.0,4.8,Fog,Medium,2,Meal,electric_scooter,0.0,No,,15,4.6547013001897275
9541,21.0,4.8,Windy,Jam,1,Drinks,scooter,1.0,No,Urban,27,7.786052633777876
9542,35.0,4.0,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,1.5715464192431179
9543,27.0,4.5,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,21,10.799580798973556
9544,30.0,4.7,Sunny,Medium,2,Drinks,scooter,0.0,No,Urban,18,7.7562872892585535
9545,20.0,5.0,Stormy,Low,1,Snack,motorcycle,0.0,No,Urban,10,3.062085733498809
9546,26.0,4.9,Sunny,Medium,1,Drinks,scooter,1.0,No,Metropolitian,18,4.607726856885948
9547,22.0,4.6,Fog,Low,0,Snack,motorcycle,,No,Urban,20,10.438767158997276
9548,27.0,4.6,Stormy,Medium,1,Drinks,scooter,0.0,No,Urban,17,20.16507395805497
9549,39.0,5.0,Sunny,Low,1,Meal,motorcycle,,No,Urban,17,7.541526930581122
9550,28.0,4.6,Windy,Jam,1,Snack,scooter,0.0,No,Metropolitian,19,19.961659702393597
9551,25.0,4.6,Fog,Low,1,Snack,scooter,1.0,No,Urban,18,1.5138375170667993
9552,35.0,4.9,Sunny,Jam,1,Meal,scooter,1.0,No,Metropolitian,30,19.960390045292755
9553,24.0,4.6,Sunny,Medium,1,Meal,scooter,1.0,No,Metropolitian,17,17.287005375714283
9554,31.0,4.4,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,34,4.594065456370285
9555,24.0,4.8,Sunny,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,22,13.612427637319298
9556,20.0,4.6,Windy,Low,1,Buffet,motorcycle,0.0,No,,19,9.307858383991352
9557,39.0,4.7,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,29,9.082231252559069
9558,35.0,4.6,Sandstorms,High,1,Drinks,scooter,0.0,No,Metropolitian,32,6.206949874271239
9559,,,Sunny,Medium,0,Meal,motorcycle,0.0,No,Urban,34,12.413609140704988
9560,26.0,4.6,Cloudy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,14,3.1027371061195685
9561,31.0,4.9,Fog,Medium,2,Buffet,electric_scooter,1.0,No,Urban,44,16.630566951244443
9562,29.0,4.7,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,21,11.909113286148889
9563,27.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Metropolitian,17,1.488906914230836
9564,39.0,5.0,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,23,4.586218215254437
9565,25.0,4.7,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,18,19.87076795449673
9566,32.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,44,12.572369364893285
